"tollID","date"
"KO01","2025-01-09"
"KO02","2025-01-09"
"KO03","2025-01-09"
"KO04","2025-01-09"
"KO05","2025-01-09"
"KO06","2025-01-09"
"KO07","2025-01-09"
"KO08","2025-01-09"
"KO09","2025-01-09"
"KO10","2025-01-09"
"KO11","2025-01-09"
"KO12","2025-01-09"
"KO13","2025-01-09"
"KO14","2025-01-09"
"KO15","2025-01-09"
"KO16","2025-01-09"
"KO17","2025-01-09"
"KO18","2025-01-09"
"KO19","2025-01-09"
"KO20","2025-01-09"
"KO21","2025-01-09"
"KO22","2025-01-09"
"KO23","2025-01-09"
"KO24","2025-01-09"
"KO25","2025-01-09"
"KO26","2025-01-09"
