"tollID","date"
"NAO01","2024-12-31"
"NAO02","2024-12-31"
"NAO03","2024-12-31"
"NAO04","2024-12-31"
"NAO05","2024-12-31"
"NAO06","2024-12-31"
"NAO07","2024-12-31"
"NAO08","2024-12-31"
"NAO09","2024-12-31"
"NAO10","2024-12-31"
"NAO11","2024-12-31"
"NAO12","2024-12-31"
"NAO13","2024-12-31"
"NAO14","2024-12-31"
"NAO15","2024-12-31"
"NAO16","2024-12-31"
"NAO17","2024-12-31"
"NAO18","2024-12-31"
"NAO19","2024-12-31"
"NAO20","2024-12-31"
"NAO21","2024-12-31"
"NAO22","2024-12-31"
"NAO23","2024-12-31"
"NAO24","2024-12-31"
"NAO25","2024-12-31"
"NAO26","2024-12-31"
"NAO27","2024-12-31"
"NAO28","2024-12-31"
"NAO29","2024-12-31"
"NAO30","2024-12-31"
"NAO31","2024-12-31"
"NAO32","2024-12-31"
"NAO33","2024-12-31"
"NAO34","2024-12-31"
"NAO35","2024-12-31"
"NAO36","2024-12-31"
"NAO37","2024-12-31"
"NAO38","2024-12-31"
"NAO39","2024-12-31"
"NAO40","2024-12-31"
"NAO41","2024-12-31"
