tollID,Year,Month,Day,DayOfYear,predictions
0,2023,1,1,1,1.1
1,2023,1,1,1,1.07
2,2023,1,1,1,1.03
3,2023,1,1,1,1.0
4,2023,1,1,1,1.03
5,2023,1,1,1,1.22
6,2023,1,1,1,1.27
7,2023,1,1,1,1.21
8,2023,1,1,1,1.2
9,2023,1,1,1,1.34
10,2023,1,1,1,1.34
11,2023,1,1,1,1.34
12,2023,1,1,1,1.34
13,2023,1,1,1,1.34
14,2023,1,1,1,1.34
15,2023,1,1,1,1.34
16,2023,1,1,1,1.34
17,2023,1,1,1,1.34
18,2023,1,1,1,1.34
19,2023,1,1,1,1.34
20,2023,1,1,1,1.34
21,2023,1,1,1,1.34
22,2023,1,1,1,1.34
23,2023,1,1,1,1.34
24,2023,1,1,1,1.34
25,2023,1,1,1,1.34
26,2023,1,1,1,1.34
27,2023,1,1,1,1.34
28,2023,1,1,1,1.34
29,2023,1,1,1,1.34
