tollID,Year,Month,Day,DayOfYear,predictions
0,2025,1,9,9,2.69
1,2025,1,9,9,2.26
2,2025,1,9,9,2.2
3,2025,1,9,9,2.12
4,2025,1,9,9,2.51
5,2025,1,9,9,2.03
6,2025,1,9,9,1.76
7,2025,1,9,9,1.3
8,2025,1,9,9,1.91
9,2025,1,9,9,1.49
10,2025,1,9,9,1.49
11,2025,1,9,9,1.49
12,2025,1,9,9,1.49
13,2025,1,9,9,1.49
14,2025,1,9,9,1.49
15,2025,1,9,9,1.49
16,2025,1,9,9,1.49
17,2025,1,9,9,1.49
18,2025,1,9,9,1.49
19,2025,1,9,9,1.49
20,2025,1,9,9,1.49
21,2025,1,9,9,1.49
22,2025,1,9,9,1.49
23,2025,1,9,9,1.49
24,2025,1,9,9,1.49
25,2025,1,9,9,1.49
