tollID,Year,Month,Day,DayOfYear,predictions
0,2024,12,31,366,1.15
1,2024,12,31,366,1.15
2,2024,12,31,366,1.23
3,2024,12,31,366,1.22
4,2024,12,31,366,1.18
5,2024,12,31,366,1.25
6,2024,12,31,366,1.01
7,2024,12,31,366,1.04
8,2024,12,31,366,1.02
9,2024,12,31,366,1.11
10,2024,12,31,366,1.41
11,2024,12,31,366,1.59
12,2024,12,31,366,1.56
13,2024,12,31,366,1.21
14,2024,12,31,366,1.2
15,2024,12,31,366,1.1
16,2024,12,31,366,1.2
17,2024,12,31,366,1.09
18,2024,12,31,366,1.09
19,2024,12,31,366,1.1
20,2024,12,31,366,1.55
21,2024,12,31,366,1.54
22,2024,12,31,366,1.44
23,2024,12,31,366,1.47
24,2024,12,31,366,1.54
25,2024,12,31,366,2.05
26,2024,12,31,366,1.91
27,2024,12,31,366,1.93
28,2024,12,31,366,1.93
29,2024,12,31,366,2.08
30,2024,12,31,366,2.09
31,2024,12,31,366,2.53
32,2024,12,31,366,2.33
33,2024,12,31,366,2.33
34,2024,12,31,366,1.99
35,2024,12,31,366,1.72
36,2024,12,31,366,1.66
37,2024,12,31,366,1.14
38,2024,12,31,366,1.07
39,2024,12,31,366,1.06
40,2024,12,31,366,1.19
