"tollID","date","total_passages"
"AM01","2022-01-08",1
"AM01","2022-01-02",2
"AM01","2022-01-09",1
"AM01","2022-01-12",1
"AM01","2022-01-04",1
"AM01","2022-01-06",2
"AM01","2022-01-11",1
"AM01","2022-01-03",1
"AM01","2022-01-13",1
"AM01","2022-01-01",1
"AM01","2022-01-10",1
"AM02","2022-01-11",3
"AM02","2022-01-12",3
"AM02","2022-01-04",1
"AM02","2022-01-06",3
"AM02","2022-01-09",2
"AM02","2022-01-10",2
"AM02","2022-01-07",1
"AM02","2022-01-13",1
"AM02","2022-01-14",1
"AM03","2022-01-03",2
"AM03","2022-01-05",1
"AM03","2022-01-06",2
"AM03","2022-01-10",2
"AM03","2022-01-01",1
"AM03","2022-01-04",1
"AM03","2022-01-02",1
"AM03","2022-01-07",1
"AM03","2022-01-12",1
"AM04","2022-01-01",1
"AM04","2022-01-12",1
"AM04","2022-01-02",1
"AM04","2022-01-06",2
"AM04","2022-01-13",2
"AM04","2022-01-10",1
"AM04","2022-01-04",1
"AM04","2022-01-07",1
"AM04","2022-01-08",2
"AM04","2022-01-05",1
"AM05","2022-01-10",3
"AM05","2022-01-12",3
"AM05","2022-01-05",2
"AM05","2022-01-04",1
"AM05","2022-01-08",1
"AM05","2022-01-11",1
"AM05","2022-01-01",1
"AM05","2022-01-02",2
"AM05","2022-01-06",1
"AM05","2022-01-14",3
"AM06","2022-01-03",3
"AM06","2022-01-13",2
"AM06","2022-01-14",1
"AM06","2022-01-01",1
"AM06","2022-01-02",3
"AM06","2022-01-10",2
"AM06","2022-01-11",1
"AM06","2022-01-06",3
"AM06","2022-01-07",1
"AM06","2022-01-04",1
"AM07","2022-01-07",2
"AM07","2022-01-14",2
"AM07","2022-01-13",1
"AM07","2022-01-05",2
"AM07","2022-01-10",1
"AM08","2022-01-06",2
"AM08","2022-01-07",1
"AM08","2022-01-08",1
"AM08","2022-01-03",1
"AM08","2022-01-09",2
"AM08","2022-01-13",1
"AM08","2022-01-02",2
"AM08","2022-01-11",1
"AM08","2022-01-05",1
"AM08","2022-01-14",1
"AM08","2022-01-10",1
"AM09","2022-01-08",1
"AM09","2022-01-04",1
"AM09","2022-01-06",1
"AM09","2022-01-09",2
"AM09","2022-01-07",1
"AM09","2022-01-14",1
"AM09","2022-01-01",1
"AM09","2022-01-10",1
"AM10","2022-01-04",1
"AM10","2022-01-09",2
"AM10","2022-01-06",2
"AM10","2022-01-05",1
"AM10","2022-01-02",2
"AM10","2022-01-14",1
"AM10","2022-01-12",1
