"tollID","date","total_passages"
"EG01","2022-01-02",1
"EG01","2022-01-09",2
"EG01","2022-01-05",1
"EG02","2022-01-05",1
"EG02","2022-01-11",1
"EG02","2022-01-09",1
"EG02","2022-01-10",1
"EG02","2022-01-06",1
"EG02","2022-01-07",1
"EG03","2022-01-05",2
"EG03","2022-01-09",2
"EG03","2022-01-10",1
"EG04","2022-01-09",1
"EG04","2022-01-03",1
"EG05","2022-01-03",1
"EG05","2022-01-12",1
"EG05","2022-01-09",2
"EG05","2022-01-13",1
"EG05","2022-01-14",1
"EG05","2022-01-10",1
"EG06","2022-01-02",1
"EG06","2022-01-08",2
"EG06","2022-01-13",1
"EG06","2022-01-04",1
"EG06","2022-01-10",1
"EG06","2022-01-09",2
"EG06","2022-01-07",1
"EG06","2022-01-14",1
"EG07","2022-01-12",1
"EG07","2022-01-13",2
"EG07","2022-01-09",2
"EG08","2022-01-14",1
"EG08","2022-01-10",1
"EG08","2022-01-07",2
"EG08","2022-01-04",1
"EG08","2022-01-13",1
"EG09","2022-01-07",2
"EG09","2022-01-10",1
"EG09","2022-01-06",1
"EG09","2022-01-02",2
"EG10","2022-01-11",3
"EG10","2022-01-02",2
"EG10","2022-01-07",1
"EG10","2022-01-04",1
"EG10","2022-01-06",1
"EG10","2022-01-08",1
"EG10","2022-01-10",1
"EG10","2022-01-05",1
"EG11","2022-01-09",1
"EG11","2022-01-11",2
"EG11","2022-01-05",2
"EG11","2022-01-02",2
"EG12","2022-01-09",1
"EG12","2022-01-12",1
"EG12","2022-01-14",1
"EG12","2022-01-04",1
"EG12","2022-01-10",1
"EG13","2022-01-06",1
"EG13","2022-01-09",1
"EG13","2022-01-02",1
"EG13","2022-01-14",1
"EG14","2022-01-11",1
"EG14","2022-01-09",1
"EG14","2022-01-12",1
"EG14","2022-01-14",1
"EG14","2022-01-05",1
"EG15","2022-01-11",2
"EG15","2022-01-13",2
"EG15","2022-01-03",1
"EG16","2022-01-10",1
"EG16","2022-01-11",2
"EG16","2022-01-14",1
"EG17","2022-01-04",1
"EG17","2022-01-01",1
"EG17","2022-01-06",1
"EG17","2022-01-12",1
"EG17","2022-01-03",1
"EG18","2022-01-11",1
"EG18","2022-01-04",1
"EG18","2022-01-07",2
"EG18","2022-01-02",1
"EG18","2022-01-14",1
"EG19","2022-01-12",2
"EG19","2022-01-03",1
"EG19","2022-01-10",1
"EG19","2022-01-08",2
"EG19","2022-01-05",1
"EG19","2022-01-02",1
"EG19","2022-01-06",1
"EG19","2022-01-01",1
"EG20","2022-01-10",1
"EG20","2022-01-13",1
"EG20","2022-01-03",1
"EG20","2022-01-12",1
"EG20","2022-01-04",1
"EG21","2022-01-10",1
"EG21","2022-01-04",1
"EG21","2022-01-03",2
"EG21","2022-01-08",2
"EG21","2022-01-12",1
"EG21","2022-01-05",1
"EG21","2022-01-09",1
"EG21","2022-01-07",2
"EG22","2022-01-06",1
"EG22","2022-01-02",1
"EG22","2022-01-05",2
"EG22","2022-01-14",1
"EG22","2022-01-10",1
"EG23","2022-01-02",2
"EG24","2022-01-06",1
"EG24","2022-01-11",1
"EG24","2022-01-09",1
"EG24","2022-01-14",1
"EG24","2022-01-10",1
"EG24","2022-01-08",1
"EG25","2022-01-09",1
"EG25","2022-01-08",1
"EG25","2022-01-06",1
"EG25","2022-01-04",1
"EG26","2022-01-11",2
"EG26","2022-01-12",1
"EG26","2022-01-13",1
"EG26","2022-01-09",1
"EG26","2022-01-02",1
"EG27","2022-01-09",1
"EG28","2022-01-07",1
"EG28","2022-01-02",1
"EG28","2022-01-03",1
"EG28","2022-01-10",2
"EG28","2022-01-06",1
"EG29","2022-01-02",2
"EG29","2022-01-06",1
"EG29","2022-01-11",1
"EG29","2022-01-09",1
"EG29","2022-01-05",1
"EG29","2022-01-07",1
"EG29","2022-01-08",1
"EG29","2022-01-14",1
"EG30","2022-01-11",1
"EG30","2022-01-02",1
"EG30","2022-01-09",1
"EG30","2022-01-07",1
"EG31","2022-01-11",1
"EG31","2022-01-05",1
"EG31","2022-01-10",1
"EG31","2022-01-09",2
"EG31","2022-01-02",1
"EG31","2022-01-01",1
"EG32","2022-01-13",1
"EG32","2022-01-14",1
"EG32","2022-01-06",1
"EG32","2022-01-11",1
"EG33","2022-01-11",1
"EG33","2022-01-10",1
"EG33","2022-01-05",1
"EG33","2022-01-02",2
"EG33","2022-01-04",1
"EG33","2022-01-09",1
"EG33","2022-01-13",2
"EG33","2022-01-14",1
"EG34","2022-01-08",1
"EG34","2022-01-03",1
"EG34","2022-01-07",1
"EG34","2022-01-10",1
"EG34","2022-01-13",1
"EG34","2022-01-01",1
"EG34","2022-01-02",1
"EG35","2022-01-12",1
"EG35","2022-01-09",1
"EG36","2022-01-13",2
"EG36","2022-01-10",2
"EG36","2022-01-04",1
"EG36","2022-01-11",2
"EG36","2022-01-14",1
"EG37","2022-01-04",1
"EG37","2022-01-11",3
"EG37","2022-01-01",1
"EG37","2022-01-09",1
"EG37","2022-01-14",1
"EG37","2022-01-10",1
"EG38","2022-01-14",2
"EG38","2022-01-02",1
"EG38","2022-01-06",1
