"tollID","date","total_passages"
"KO01","2022-01-14",1
"KO01","2022-01-08",3
"KO01","2022-01-03",2
"KO01","2022-01-10",2
"KO01","2022-01-13",1
"KO01","2022-01-11",1
"KO02","2022-01-08",2
"KO02","2022-01-03",1
"KO02","2022-01-04",3
"KO02","2022-01-11",1
"KO02","2022-01-13",2
"KO02","2022-01-14",1
"KO02","2022-01-09",1
"KO02","2022-01-02",1
"KO03","2022-01-12",3
"KO03","2022-01-06",1
"KO03","2022-01-11",2
"KO03","2022-01-08",2
"KO03","2022-01-10",2
"KO03","2022-01-01",1
"KO03","2022-01-07",1
"KO03","2022-01-02",1
"KO04","2022-01-06",1
"KO04","2022-01-07",1
"KO04","2022-01-13",1
"KO04","2022-01-02",1
"KO04","2022-01-01",1
"KO04","2022-01-03",1
"KO04","2022-01-09",1
"KO04","2022-01-14",2
"KO05","2022-01-04",3
"KO05","2022-01-05",1
"KO05","2022-01-09",3
"KO05","2022-01-08",1
"KO05","2022-01-12",2
"KO05","2022-01-14",1
"KO05","2022-01-01",2
"KO06","2022-01-07",1
"KO06","2022-01-06",1
"KO06","2022-01-03",1
"KO06","2022-01-12",1
"KO07","2022-01-03",4
"KO07","2022-01-13",1
"KO07","2022-01-12",1
"KO07","2022-01-09",2
"KO07","2022-01-10",1
"KO07","2022-01-05",1
"KO07","2022-01-06",1
"KO08","2022-01-03",1
"KO08","2022-01-01",1
"KO08","2022-01-04",2
"KO08","2022-01-10",1
"KO08","2022-01-12",1
"KO08","2022-01-09",1
"KO09","2022-01-05",1
"KO09","2022-01-07",1
"KO09","2022-01-09",2
"KO09","2022-01-12",3
"KO09","2022-01-02",1
"KO09","2022-01-04",1
"KO09","2022-01-11",2
"KO09","2022-01-13",1
"KO09","2022-01-10",1
"KO09","2022-01-08",2
"KO09","2022-01-14",1
"KO09","2022-01-06",1
"KO10","2022-01-03",2
"KO10","2022-01-06",2
"KO10","2022-01-02",1
"KO10","2022-01-12",1
"KO10","2022-01-14",3
"KO10","2022-01-10",1
