"tollID","date","total_passages"
"MO01","2022-01-07",1
"MO01","2022-01-10",1
"MO02","2022-01-05",2
"MO02","2022-01-01",1
"MO03","2022-01-09",1
"MO03","2022-01-14",2
"MO03","2022-01-08",1
"MO04","2022-01-05",1
"MO04","2022-01-14",1
"MO04","2022-01-03",1
"MO05","2022-01-01",1
"MO05","2022-01-04",1
"MO05","2022-01-09",1
"MO05","2022-01-10",2
"MO05","2022-01-12",1
"MO05","2022-01-11",1
"MO06","2022-01-05",1
"MO06","2022-01-11",1
"MO06","2022-01-06",1
"MO07","2022-01-06",1
"MO08","2022-01-09",1
"MO08","2022-01-03",1
"MO08","2022-01-12",1
"MO08","2022-01-06",1
"MO08","2022-01-10",1
"MO08","2022-01-02",1
"MO09","2022-01-02",1
"MO09","2022-01-05",2
"MO09","2022-01-09",2
"MO10","2022-01-13",1
"MO10","2022-01-04",1
"MO10","2022-01-06",2
"MO11","2022-01-09",1
"MO11","2022-01-01",1
"MO12","2022-01-10",1
