"tollID","date","total_passages"
"NAO01","2022-01-06",2
"NAO01","2022-01-10",1
"NAO01","2022-01-12",1
"NAO01","2022-01-09",1
"NAO02","2022-01-06",1
"NAO02","2022-01-05",1
"NAO03","2022-01-01",1
"NAO03","2022-01-14",1
"NAO03","2022-01-11",3
"NAO03","2022-01-03",1
"NAO03","2022-01-09",1
"NAO04","2022-01-06",2
"NAO04","2022-01-01",1
"NAO04","2022-01-07",1
"NAO04","2022-01-04",1
"NAO05","2022-01-02",1
"NAO05","2022-01-03",2
"NAO05","2022-01-04",1
"NAO05","2022-01-10",1
"NAO05","2022-01-11",1
"NAO06","2022-01-07",1
"NAO06","2022-01-03",3
"NAO06","2022-01-09",2
"NAO06","2022-01-10",1
"NAO07","2022-01-13",1
"NAO07","2022-01-09",1
"NAO07","2022-01-14",1
"NAO07","2022-01-04",2
"NAO07","2022-01-08",1
"NAO07","2022-01-11",1
"NAO07","2022-01-03",1
"NAO07","2022-01-01",1
"NAO07","2022-01-07",1
"NAO07","2022-01-12",1
"NAO08","2022-01-10",2
"NAO08","2022-01-06",1
"NAO08","2022-01-14",1
"NAO08","2022-01-04",1
"NAO09","2022-01-09",1
"NAO09","2022-01-13",1
"NAO09","2022-01-06",1
"NAO09","2022-01-14",1
"NAO09","2022-01-04",1
"NAO09","2022-01-08",1
"NAO09","2022-01-10",2
"NAO09","2022-01-12",1
"NAO10","2022-01-12",1
"NAO10","2022-01-03",1
"NAO10","2022-01-02",1
"NAO10","2022-01-08",1
"NAO10","2022-01-11",1
"NAO11","2022-01-13",1
"NAO11","2022-01-11",1
"NAO11","2022-01-02",1
"NAO11","2022-01-06",1
"NAO11","2022-01-12",1
"NAO12","2022-01-07",1
"NAO12","2022-01-08",2
"NAO12","2022-01-14",2
"NAO12","2022-01-10",1
"NAO13","2022-01-10",1
"NAO13","2022-01-04",1
"NAO14","2022-01-14",1
"NAO14","2022-01-11",1
"NAO14","2022-01-02",1
"NAO14","2022-01-04",1
"NAO15","2022-01-14",2
"NAO15","2022-01-13",2
"NAO15","2022-01-10",1
"NAO15","2022-01-07",1
"NAO16","2022-01-12",1
"NAO16","2022-01-06",1
"NAO16","2022-01-08",1
"NAO16","2022-01-09",1
"NAO16","2022-01-07",1
"NAO17","2022-01-06",2
"NAO17","2022-01-03",1
"NAO18","2022-01-11",1
"NAO18","2022-01-05",1
"NAO18","2022-01-08",1
"NAO18","2022-01-14",1
"NAO18","2022-01-02",1
"NAO18","2022-01-03",1
"NAO19","2022-01-10",1
"NAO19","2022-01-01",1
"NAO19","2022-01-07",1
"NAO20","2022-01-09",1
"NAO20","2022-01-12",1
"NAO20","2022-01-04",1
"NAO20","2022-01-06",1
"NAO20","2022-01-05",1
"NAO20","2022-01-03",1
"NAO21","2022-01-08",3
"NAO21","2022-01-09",1
"NAO21","2022-01-10",2
"NAO21","2022-01-02",1
"NAO21","2022-01-05",2
"NAO22","2022-01-02",1
"NAO22","2022-01-14",2
"NAO22","2022-01-03",2
"NAO23","2022-01-02",1
"NAO23","2022-01-13",1
"NAO23","2022-01-01",1
"NAO23","2022-01-08",1
"NAO23","2022-01-03",1
"NAO23","2022-01-12",1
"NAO24","2022-01-03",1
"NAO24","2022-01-10",1
"NAO24","2022-01-08",2
"NAO24","2022-01-12",1
"NAO25","2022-01-11",1
"NAO25","2022-01-03",1
"NAO25","2022-01-04",1
"NAO25","2022-01-09",1
"NAO25","2022-01-05",1
"NAO26","2022-01-13",1
"NAO26","2022-01-08",3
"NAO26","2022-01-11",1
"NAO26","2022-01-03",1
"NAO26","2022-01-09",2
"NAO26","2022-01-12",2
"NAO27","2022-01-07",1
"NAO27","2022-01-10",1
"NAO27","2022-01-06",1
"NAO28","2022-01-02",1
"NAO28","2022-01-03",1
"NAO28","2022-01-06",1
"NAO28","2022-01-08",1
"NAO28","2022-01-04",1
"NAO29","2022-01-11",1
"NAO29","2022-01-01",1
"NAO29","2022-01-09",1
"NAO29","2022-01-07",1
"NAO29","2022-01-12",1
"NAO29","2022-01-02",1
"NAO30","2022-01-05",1
"NAO30","2022-01-13",1
"NAO30","2022-01-01",1
"NAO30","2022-01-09",1
"NAO30","2022-01-03",1
"NAO30","2022-01-06",2
"NAO30","2022-01-12",1
"NAO31","2022-01-13",1
"NAO31","2022-01-10",1
"NAO31","2022-01-09",1
"NAO31","2022-01-03",1
"NAO32","2022-01-01",1
"NAO32","2022-01-14",3
"NAO32","2022-01-04",1
"NAO32","2022-01-05",2
"NAO32","2022-01-02",2
"NAO32","2022-01-08",1
"NAO32","2022-01-13",1
"NAO32","2022-01-11",1
"NAO33","2022-01-10",1
"NAO33","2022-01-07",1
"NAO33","2022-01-11",1
"NAO33","2022-01-13",1
"NAO34","2022-01-01",1
"NAO34","2022-01-14",1
"NAO34","2022-01-06",1
"NAO35","2022-01-06",2
"NAO35","2022-01-05",1
"NAO35","2022-01-10",1
"NAO35","2022-01-02",1
"NAO36","2022-01-14",2
"NAO36","2022-01-03",1
"NAO36","2022-01-01",1
"NAO37","2022-01-06",2
"NAO37","2022-01-01",2
"NAO37","2022-01-05",1
"NAO37","2022-01-07",2
"NAO38","2022-01-03",1
"NAO38","2022-01-11",1
"NAO38","2022-01-13",1
"NAO38","2022-01-09",1
"NAO38","2022-01-01",1
"NAO38","2022-01-14",1
"NAO39","2022-01-08",1
"NAO39","2022-01-07",2
"NAO39","2022-01-04",3
"NAO39","2022-01-14",1
"NAO39","2022-01-03",1
"NAO39","2022-01-13",1
"NAO40","2022-01-01",1
"NAO40","2022-01-02",2
"NAO40","2022-01-04",1
"NAO40","2022-01-10",1
"NAO40","2022-01-11",1
"NAO41","2022-01-14",1
"NAO41","2022-01-11",2
"NAO41","2022-01-05",1
"NAO41","2022-01-08",1
