"tollID","date","total_passages"
"NO01","2022-01-05",2
"NO01","2022-01-14",1
"NO01","2022-01-10",3
"NO01","2022-01-01",1
"NO01","2022-01-12",2
"NO01","2022-01-02",2
"NO01","2022-01-03",1
"NO01","2022-01-09",1
"NO01","2022-01-06",1
"NO01","2022-01-08",1
"NO02","2022-01-10",2
"NO02","2022-01-08",1
"NO02","2022-01-07",3
"NO02","2022-01-14",1
"NO02","2022-01-09",2
"NO02","2022-01-04",1
"NO02","2022-01-05",1
"NO02","2022-01-12",1
"NO03","2022-01-01",2
"NO03","2022-01-08",1
"NO03","2022-01-14",1
"NO03","2022-01-09",1
"NO03","2022-01-11",1
"NO03","2022-01-05",1
"NO04","2022-01-09",1
"NO04","2022-01-11",1
"NO04","2022-01-13",1
"NO04","2022-01-05",1
"NO04","2022-01-06",1
"NO04","2022-01-07",1
"NO04","2022-01-01",1
"NO04","2022-01-12",1
"NO04","2022-01-08",1
"NO05","2022-01-08",2
"NO05","2022-01-02",3
"NO05","2022-01-03",1
"NO05","2022-01-13",3
"NO05","2022-01-04",1
"NO05","2022-01-06",1
"NO05","2022-01-11",1
"NO05","2022-01-12",1
"NO05","2022-01-05",1
"NO06","2022-01-04",3
"NO06","2022-01-02",1
"NO06","2022-01-05",3
"NO06","2022-01-03",1
"NO06","2022-01-06",2
"NO07","2022-01-11",2
"NO07","2022-01-04",1
"NO07","2022-01-09",2
"NO07","2022-01-10",1
"NO07","2022-01-07",1
"NO07","2022-01-13",2
"NO07","2022-01-05",1
"NO08","2022-01-08",2
"NO09","2022-01-01",1
"NO09","2022-01-11",1
"NO09","2022-01-05",1
"NO09","2022-01-08",1
"NO09","2022-01-12",3
"NO10","2022-01-10",3
"NO10","2022-01-05",1
"NO10","2022-01-08",1
"NO10","2022-01-02",2
"NO10","2022-01-04",3
"NO10","2022-01-13",2
"NO10","2022-01-03",1
"NO10","2022-01-09",1
"NO10","2022-01-07",1
"NO10","2022-01-06",1
"NO11","2022-01-14",2
"NO11","2022-01-05",2
"NO11","2022-01-08",1
"NO11","2022-01-10",1
"NO11","2022-01-11",1
"NO11","2022-01-13",1
"NO12","2022-01-13",1
"NO12","2022-01-09",2
"NO12","2022-01-04",1
"NO12","2022-01-01",1
"NO12","2022-01-14",2
"NO12","2022-01-11",1
"NO13","2022-01-09",1
"NO13","2022-01-02",1
"NO13","2022-01-06",1
"NO13","2022-01-04",1
"NO13","2022-01-03",1
"NO14","2022-01-12",1
"NO14","2022-01-03",1
"NO14","2022-01-05",2
"NO14","2022-01-13",1
"NO14","2022-01-10",1
"NO14","2022-01-02",1
"NO14","2022-01-08",1
"NO14","2022-01-01",1
