"passage_date","company","hour_of_day"
"2022-01-01","AM",1
"2022-01-01","AM",9
"2022-01-02","AM",11
"2022-01-03","AM",15
"2022-01-03","AM",5
"2022-01-03","AM",8
"2022-01-03","AM",4
"2022-01-03","AM",19
"2022-01-03","AM",21
"2022-01-03","AM",6
"2022-01-04","AM",4
"2022-01-05","AM",23
"2022-01-05","AM",15
"2022-01-05","AM",16
"2022-01-05","AM",14
"2022-01-05","AM",8
"2022-01-05","AM",0
"2022-01-05","AM",5
"2022-01-05","AM",3
"2022-01-06","AM",11
"2022-01-06","AM",8
"2022-01-06","AM",15
"2022-01-06","AM",22
"2022-01-06","AM",21
"2022-01-06","AM",18
"2022-01-07","AM",18
"2022-01-07","AM",22
"2022-01-07","AM",15
"2022-01-07","AM",10
"2022-01-07","AM",2
"2022-01-07","AM",3
"2022-01-07","AM",21
"2022-01-07","AM",4
"2022-01-08","AM",3
"2022-01-08","AM",7
"2022-01-09","AM",9
"2022-01-09","AM",17
"2022-01-10","AM",5
"2022-01-10","AM",2
"2022-01-10","AM",8
"2022-01-11","AM",7
"2022-01-11","AM",10
"2022-01-11","AM",18
"2022-01-11","AM",23
"2022-01-11","AM",2
"2022-01-11","AM",12
"2022-01-11","AM",14
"2022-01-12","AM",12
"2022-01-12","AM",22
"2022-01-12","AM",3
"2022-01-12","AM",2
"2022-01-12","AM",10
"2022-01-12","AM",5
"2022-01-12","AM",13
"2022-01-12","AM",21
"2022-01-12","AM",6
"2022-01-12","AM",7
"2022-01-13","AM",18
"2022-01-14","AM",0
