"passage_date","company","hour_of_day"
"2022-01-01","KO",8
"2022-01-01","KO",12
"2022-01-01","KO",1
"2022-01-01","KO",3
"2022-01-01","KO",18
"2022-01-02","KO",7
"2022-01-02","KO",18
"2022-01-02","KO",6
"2022-01-02","KO",4
"2022-01-02","KO",11
"2022-01-03","KO",1
"2022-01-03","KO",17
"2022-01-04","KO",20
"2022-01-04","KO",17
"2022-01-04","KO",21
"2022-01-04","KO",4
"2022-01-04","KO",23
"2022-01-04","KO",5
"2022-01-04","KO",8
"2022-01-04","KO",0
"2022-01-04","KO",1
"2022-01-05","KO",8
"2022-01-05","KO",18
"2022-01-05","KO",10
"2022-01-06","KO",7
"2022-01-06","KO",17
"2022-01-06","KO",11
"2022-01-06","KO",9
"2022-01-06","KO",22
"2022-01-06","KO",21
"2022-01-06","KO",19
"2022-01-07","KO",0
"2022-01-07","KO",4
"2022-01-07","KO",12
"2022-01-07","KO",21
"2022-01-08","KO",5
"2022-01-08","KO",23
"2022-01-09","KO",0
"2022-01-10","KO",3
"2022-01-10","KO",12
"2022-01-10","KO",1
"2022-01-10","KO",15
"2022-01-10","KO",2
"2022-01-10","KO",22
"2022-01-10","KO",5
"2022-01-10","KO",20
"2022-01-11","KO",9
"2022-01-11","KO",11
"2022-01-11","KO",3
"2022-01-11","KO",19
"2022-01-11","KO",22
"2022-01-11","KO",7
"2022-01-12","KO",23
"2022-01-12","KO",14
"2022-01-13","KO",21
"2022-01-13","KO",13
"2022-01-13","KO",18
"2022-01-13","KO",6
"2022-01-13","KO",23
"2022-01-13","KO",4
"2022-01-14","KO",21
