"passage_date","company","hour_of_day"
"2022-01-01","MO",14
"2022-01-01","MO",5
"2022-01-01","MO",8
"2022-01-02","MO",20
"2022-01-02","MO",10
"2022-01-03","MO",20
"2022-01-03","MO",9
"2022-01-04","MO",17
"2022-01-04","MO",16
"2022-01-05","MO",23
"2022-01-05","MO",14
"2022-01-05","MO",2
"2022-01-05","MO",22
"2022-01-05","MO",1
"2022-01-05","MO",13
"2022-01-06","MO",13
"2022-01-07","MO",7
"2022-01-08","MO",1
"2022-01-09","MO",17
"2022-01-09","MO",4
"2022-01-10","MO",3
"2022-01-11","MO",1
"2022-01-11","MO",5
"2022-01-12","MO",21
"2022-01-12","MO",23
"2022-01-13","MO",22
"2022-01-14","MO",9
"2022-01-14","MO",6
"2022-01-14","MO",3
