"passage_date","company","hour_of_day"
"2022-01-01","NAO",17
"2022-01-01","NAO",19
"2022-01-02","NAO",10
"2022-01-03","NAO",19
"2022-01-03","NAO",18
"2022-01-04","NAO",5
"2022-01-05","NAO",11
"2022-01-06","NAO",18
"2022-01-06","NAO",5
"2022-01-06","NAO",22
"2022-01-06","NAO",20
"2022-01-07","NAO",0
"2022-01-08","NAO",14
"2022-01-09","NAO",23
"2022-01-09","NAO",17
"2022-01-10","NAO",7
"2022-01-11","NAO",15
"2022-01-11","NAO",21
"2022-01-12","NAO",3
"2022-01-12","NAO",2
"2022-01-13","NAO",2
"2022-01-13","NAO",14
"2022-01-14","NAO",1
"2022-01-14","NAO",23
