"passage_date","company","hour_of_day"
"2022-01-01","NO",17
"2022-01-02","NO",11
"2022-01-02","NO",18
"2022-01-03","NO",21
"2022-01-04","NO",10
"2022-01-05","NO",4
"2022-01-05","NO",6
"2022-01-06","NO",0
"2022-01-06","NO",17
"2022-01-06","NO",15
"2022-01-06","NO",8
"2022-01-06","NO",5
"2022-01-06","NO",7
"2022-01-06","NO",23
"2022-01-07","NO",0
"2022-01-08","NO",22
"2022-01-08","NO",17
"2022-01-09","NO",17
"2022-01-10","NO",14
"2022-01-11","NO",4
"2022-01-12","NO",5
"2022-01-12","NO",10
"2022-01-13","NO",18
"2022-01-14","NO",0
